wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,5573,87.99999237060547,101.53343963623047,9.594046592712402,5.0861358642578125,6.319270133972168,1.3290679454803467,0.028743352741003036,0,0.0,204.88829040527344,269.1210021972656,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5573,6cd1cccb56ac0afdac530fac12430bbfb9679ef061ade2a007c8b018a43cbbc6
FR,5573,87.99999237060547,101.3703842163086,10.0,5.212299346923828,6.03231143951416,1.2287518978118896,0.03508923202753067,0,0.0,193.32009887695312,269.8399353027344,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5573,6cd1cccb56ac0afdac530fac12430bbfb9679ef061ade2a007c8b018a43cbbc6
RL,5573,87.99999237060547,110.00135040283203,9.594046592712402,5.172530174255371,6.528491020202637,1.3304197788238525,0.0329555943608284,0,0.0,206.78765869140625,285.8705139160156,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5573,6cd1cccb56ac0afdac530fac12430bbfb9679ef061ade2a007c8b018a43cbbc6
RR,5573,87.99999237060547,119.42201232910156,10.0,5.360021591186523,6.627015113830566,1.2879830598831177,0.03645619750022888,0,0.0,230.9158935546875,317.05487060546875,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5573,6cd1cccb56ac0afdac530fac12430bbfb9679ef061ade2a007c8b018a43cbbc6
