wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,6274,87.99999237060547,103.4403076171875,9.610485076904297,5.010679244995117,6.4516730308532715,1.2527655363082886,0.028704486787319183,0,0.0,203.46836853027344,273.24786376953125,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6274,2ae6e0d6d19a9b7713f2b7cda62e78780ac9b8c7742f447f34597fdbbb409266
FR,6274,87.99999237060547,103.68482971191406,10.0,5.297389030456543,6.379003047943115,1.2768524885177612,0.029941823333501816,0,0.0,199.62673950195312,271.13116455078125,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6274,2ae6e0d6d19a9b7713f2b7cda62e78780ac9b8c7742f447f34597fdbbb409266
RL,6274,87.99999237060547,110.08766174316406,9.610485076904297,5.014290809631348,6.474745750427246,1.2767990827560425,0.029929272830486298,0,0.0,206.49783325195312,285.8070068359375,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6274,2ae6e0d6d19a9b7713f2b7cda62e78780ac9b8c7742f447f34597fdbbb409266
RR,6274,87.99999237060547,116.95936584472656,10.0,5.3250322341918945,6.588373184204102,1.3324555158615112,0.03181661292910576,0,0.0,230.03501892089844,312.2059631347656,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6274,2ae6e0d6d19a9b7713f2b7cda62e78780ac9b8c7742f447f34597fdbbb409266
