wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,7505,87.99999237060547,113.98944854736328,9.626137733459473,5.042587757110596,6.441099643707275,1.2801679372787476,0.07204039394855499,0,0.0,182.59811401367188,307.5479736328125,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7505,45c69b1d1194618d01d52a5e4688119c64e3fea5e86ace851d9a331649704e27
FR,7505,87.99999237060547,174.0344696044922,10.0,5.131850242614746,6.192846775054932,1.2640341520309448,0.07125317305326462,0,0.0,141.04876708984375,467.80572509765625,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7505,45c69b1d1194618d01d52a5e4688119c64e3fea5e86ace851d9a331649704e27
RL,7505,87.99999237060547,116.43987274169922,9.626137733459473,5.0792412757873535,6.496573448181152,1.3279423713684082,0.1565982550382614,0,0.0,73.71666717529297,315.7376403808594,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7505,45c69b1d1194618d01d52a5e4688119c64e3fea5e86ace851d9a331649704e27
RR,7505,87.99999237060547,139.9290313720703,10.0,5.362029075622559,6.60876989364624,1.3001781702041626,0.08156654983758926,0,0.0,132.0844268798828,374.9770202636719,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7505,45c69b1d1194618d01d52a5e4688119c64e3fea5e86ace851d9a331649704e27
