wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,7989,87.99999237060547,109.07135009765625,10.0,5.087709426879883,6.478391647338867,1.2408692836761475,0.05196714773774147,0,0.0,133.5441131591797,296.9837341308594,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7989,97514675d0d76f8e06d5f306940beff37a3f41171c19c6bb15d33307d6b1739e
FR,7989,87.99999237060547,124.5274658203125,9.654960632324219,5.346207141876221,6.536707878112793,1.3284658193588257,0.05276936665177345,0,0.0,69.1415786743164,338.6954650878906,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7989,97514675d0d76f8e06d5f306940beff37a3f41171c19c6bb15d33307d6b1739e
RL,7989,87.99999237060547,120.68321228027344,10.0,5.168546199798584,6.542158126831055,1.249634027481079,0.07565479725599289,0,0.0,76.16893005371094,320.14410400390625,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7989,97514675d0d76f8e06d5f306940beff37a3f41171c19c6bb15d33307d6b1739e
RR,7989,87.99999237060547,143.172607421875,9.654960632324219,5.359286308288574,6.629384517669678,1.3037147521972656,0.06778493523597717,0,0.0,189.50889587402344,386.4850769042969,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7989,97514675d0d76f8e06d5f306940beff37a3f41171c19c6bb15d33307d6b1739e
