x,y,z,yaw
55.4544,-15.4704,0.0000,-2.616373
54.1521,-16.2251,0.0000,-2.623294
52.8677,-16.9576,0.0000,-2.607399
51.5921,-17.7122,0.0000,-2.619786
50.2988,-18.4558,0.0000,-2.607341
49.0232,-19.2105,0.0000,-2.606755
47.7120,-19.9873,0.0000,-2.612987
46.4008,-20.7531,0.0000,-2.646249
45.0450,-21.4856,0.0000,-2.630858
43.6981,-22.2403,0.0000,-2.643547
42.3512,-22.9727,0.0000,-2.619323
41.0400,-23.7274,0.0000,-2.634310
39.7021,-24.4710,0.0000,-2.621303
38.3463,-25.2478,0.0000,-2.612240
36.9994,-26.0358,0.0000,-2.609008
35.6436,-26.8349,0.0000,-2.628557
34.2253,-27.6339,0.0000,-2.734201
32.6822,-28.2998,0.0000,-2.886415
31.0231,-28.7326,0.0000,-2.856756
29.5067,-29.1766,0.0000,-2.855207
27.9993,-29.6205,0.0000,-2.920357
26.4205,-29.9756,0.0000,-3.116584
24.6455,-30.0200,0.0000,3.060675
23.0042,-29.8869,0.0000,2.974178
21.5592,-29.6427,0.0000,2.899289
20.2123,-29.3098,0.0000,2.760636
18.9100,-28.7882,0.0000,2.631182
17.6612,-28.0890,0.0000,2.537475
16.5195,-27.3010,0.0000,2.466971
15.3956,-26.4021,0.0000,2.393497
14.3074,-25.3922,0.0000,2.313759
13.3084,-24.3046,0.0000,2.215038
12.4164,-23.1171,0.0000,2.238332
11.5066,-21.9629,0.0000,2.180589
10.6770,-20.7754,0.0000,2.082237
9.9545,-19.4881,0.0000,2.168850
9.1606,-18.3228,0.0000,2.099706
8.4471,-17.1020,0.0000,2.168850
7.6532,-15.9367,0.0000,2.188260
6.8415,-14.7936,0.0000,2.024599
6.2082,-13.4952,0.0000,2.066293
5.5124,-12.2078,0.0000,1.977949
4.9237,-10.8427,0.0000,2.021254
4.2904,-9.5332,0.0000,2.026717
3.6482,-8.2236,0.0000,2.016767
3.0327,-6.9362,0.0000,2.019053
2.3816,-5.5823,0.0000,2.091950
1.6680,-4.3393,0.0000,2.073861
0.9901,-3.1074,0.0000,2.097354
0.2676,-1.8645,0.0000,2.111897
-0.4460,-0.6770,0.0000,2.113284
-1.1953,0.5660,0.0000,2.114516
-1.9534,1.8201,0.0000,2.116009
-2.6938,3.0408,0.0000,2.189984
-3.5322,4.2172,0.0000,2.124961
-4.3083,5.4713,0.0000,2.078928
-5.0129,6.7365,0.0000,2.061068
-5.7533,8.1237,0.0000,2.159992
-6.5025,9.2446,0.0000,2.067862
-7.2250,10.5764,0.0000,2.057072
-7.8762,11.8083,0.0000,2.054027
-8.5808,13.1511,0.0000,2.071198
-9.3212,14.5051,0.0000,2.026442
-9.9901,15.8701,0.0000,2.043081
-10.6591,17.1797,0.0000,2.023308
-11.3281,18.5558,0.0000,1.966217
-11.9257,19.9875,0.0000,1.998343
-12.5679,21.3969,0.0000,1.990150
-13.2012,22.8175,0.0000,1.992673
-13.7989,24.1492,0.0000,1.949944
-14.3251,25.4699,0.0000,2.000589
-14.9406,26.8127,0.0000,1.955633
-15.5025,28.2000,0.0000,1.996761
-16.1269,29.5761,0.0000,2.147390
-16.9208,30.7969,0.0000,2.097000
-17.6879,32.1176,0.0000,2.112077
-18.5085,33.4826,0.0000,2.130019
-19.2934,34.7367,0.0000,2.094773
-20.0694,36.0796,0.0000,2.095642
-20.6670,37.1117,0.0000,1.874888
-21.0327,38.2770,0.0000,1.799642
-21.3093,39.4645,0.0000,1.742249
-21.5322,40.7518,0.0000,1.247167
-21.1041,42.0281,0.0000,0.804897
-20.4530,42.7051,0.0000,0.514649
-19.6680,43.1490,0.0000,0.049083
-18.9901,43.1823,0.0000,-0.091920
-18.2676,43.1157,0.0000,-0.083704
-17.4738,43.0491,0.0000,-0.029975
-16.7334,43.0269,0.0000,0.013982
-15.9396,43.0380,0.0000,0.150936
-15.1368,43.1601,0.0000,0.147710
-14.3162,43.2822,0.0000,0.135786
-13.5045,43.3931,0.0000,0.181369
-12.6571,43.5485,0.0000,0.126312
-11.7830,43.6595,0.0000,0.169067
-10.8732,43.8148,0.0000,0.154309
-9.9455,43.9591,0.0000,0.136038
-9.0535,44.0812,0.0000,0.132131
-8.1348,44.2033,0.0000,0.142501
-7.2071,44.3364,0.0000,0.128441
-6.2617,44.4585,0.0000,0.148677
-5.2983,44.6028,0.0000,0.099669
-4.2993,44.7027,0.0000,0.096251
-3.2646,44.8026,0.0000,0.089348
-2.2745,44.8913,0.0000,0.103337
-1.3112,44.9912,0.0000,0.091077
-0.3389,45.0800,0.0000,0.103337
0.6244,45.1799,0.0000,0.100559
1.6145,45.2798,0.0000,0.100559
2.6046,45.3797,0.0000,0.136060
3.5768,45.5128,0.0000,0.116469
4.6204,45.6349,0.0000,-0.059189
5.7443,45.5683,0.0000,-0.068484
6.8771,45.4906,0.0000,0.034877
7.8315,45.5239,0.0000,0.037132
8.4291,45.5461,0.0000,0.133722
9.0892,45.6349,0.0000,-0.083560
10.0169,45.5572,0.0000,-0.481975
10.8018,45.1466,0.0000,-0.962423
11.2656,44.4807,0.0000,-1.269580
11.4173,43.9924,0.0000,-1.423890
11.4797,43.5707,0.0000,-1.773127
11.3727,43.0491,0.0000,-1.832557
11.1943,42.3832,0.0000,-1.737210
11.0694,41.6396,0.0000,-1.608514
11.0426,40.9294,0.0000,-1.559534
11.0516,40.1303,0.0000,-1.633441
10.9980,39.2758,0.0000,-1.608514
10.9624,38.3324,0.0000,-1.617493
10.9178,37.3780,0.0000,-1.616433
10.8732,36.4014,0.0000,-1.652836
10.7929,35.4248,0.0000,-1.646336
10.7215,34.4814,0.0000,-1.636085
10.6591,33.5270,0.0000,-1.622276
10.6145,32.6614,0.0000,-1.683634
10.5164,31.7957,0.0000,-1.754246
10.3558,30.9301,0.0000,-1.699024
10.2399,30.0312,0.0000,-1.732290
10.1061,29.2099,0.0000,-1.636734
10.0526,28.3997,0.0000,-1.560896
10.0615,27.5008,0.0000,-1.551704
10.0793,26.5686,0.0000,-1.449250
10.1864,25.6918,0.0000,-1.424809
10.3202,24.7818,0.0000,-1.415475
10.4540,23.9273,0.0000,-1.346578
10.6413,23.1060,0.0000,-1.309037
10.8732,22.2404,0.0000,-1.188669
11.1765,21.4857,0.0000,-1.218956
11.5065,20.5868,0.0000,-1.284822
11.7741,19.6767,0.0000,-1.241597
12.0774,18.7889,0.0000,-1.293920
12.3360,17.8789,0.0000,-1.233162
12.6750,16.9133,0.0000,-1.254969
13.0050,15.9034,0.0000,-1.234601
13.3618,14.8824,0.0000,-1.207394
13.7543,13.8503,0.0000,-1.151655
14.2092,12.8293,0.0000,-1.166295
14.6463,11.8083,0.0000,-1.135343
15.1368,10.7540,0.0000,-1.132311
15.6364,9.6886,0.0000,-1.110490
16.1537,8.6453,0.0000,-1.160209
16.6175,7.5799,0.0000,-1.192213
17.0457,6.5034,0.0000,-1.192352
17.4649,5.4491,0.0000,-1.198980
17.9020,4.3282,0.0000,-1.185185
18.3480,3.2295,0.0000,-1.195803
18.7761,2.1419,0.0000,-1.147576
19.2310,1.1320,0.0000,-1.148382
19.6949,0.0999,0.0000,-1.130049
20.1765,-0.9211,0.0000,-1.146172
20.6582,-1.9865,0.0000,-1.111475
21.1577,-2.9964,0.0000,-1.104341
21.6662,-4.0063,0.0000,-1.142341
22.1478,-5.0607,0.0000,-1.108717
22.6563,-6.0817,0.0000,-1.134206
23.1379,-7.1138,0.0000,-1.101757
23.6553,-8.1348,0.0000,-1.099235
24.1816,-9.1669,0.0000,-1.071990
24.7257,-10.1657,0.0000,-0.966653
25.3768,-11.1090,0.0000,-0.980671
26.0458,-12.1079,0.0000,-0.922817
26.7683,-13.0623,0.0000,-0.794236
27.5533,-13.8613,0.0000,-0.739211
28.4542,-14.6826,0.0000,-0.755849
29.3372,-15.5149,0.0000,-0.824769
30.1578,-16.4028,0.0000,-0.839861
30.9339,-17.2684,0.0000,-0.936336
31.6118,-18.1895,0.0000,-0.855451
32.3254,-19.0108,0.0000,-0.900497
32.9676,-19.8209,0.0000,-0.826201
33.7347,-20.6533,0.0000,-0.969860
34.5107,-21.7853,0.0000,-1.212380
34.9389,-22.9284,0.0000,-1.754208
34.7248,-24.0826,0.0000,-2.111718
34.0915,-25.1369,0.0000,-2.264049
33.2709,-26.1246,0.0000,-2.327366
32.3700,-27.0790,0.0000,-2.556937
31.1123,-27.9114,0.0000,-2.566378
29.8457,-28.7326,0.0000,-2.642688
28.4810,-29.4762,0.0000,-2.925819
26.9111,-29.8203,0.0000,-3.000574
25.2698,-30.0533,0.0000,-3.135243
23.5216,-30.0644,0.0000,2.944612
21.8535,-29.7315,0.0000,2.856102
20.1142,-29.2210,0.0000,2.768658
18.6959,-28.6661,0.0000,3.098708
17.6612,-28.6217,0.0000,-2.304885
17.0904,-29.2543,0.0000,-1.717401
17.0101,-29.7981,0.0000,-1.392947
17.1617,-30.6415,0.0000,-0.893818
17.8396,-31.4850,0.0000,-0.888927
18.7495,-32.6059,0.0000,-0.647172
19.9536,-33.5159,0.0000,-0.728475
21.3095,-34.7256,0.0000,-0.180681
22.5850,-34.9586,0.0000,0.393098
24.0835,-34.3372,0.0000,0.374043
25.4126,-33.8155,0.0000,0.379686
26.3581,-33.4382,0.0000,0.308345
27.4730,-33.0831,0.0000,0.315480
28.5613,-32.7279,0.0000,0.355477
29.6673,-32.3173,0.0000,0.402385
30.6842,-31.8845,0.0000,0.472909
31.6386,-31.3962,0.0000,0.474571
32.6109,-30.8967,0.0000,0.521989
33.5563,-30.3529,0.0000,0.539408
34.5018,-29.7869,0.0000,0.545256
35.5811,-29.1322,0.0000,0.513967
36.6426,-28.5329,0.0000,0.552727
37.7041,-27.8781,0.0000,0.471176
38.8369,-27.3010,0.0000,0.455493
39.9697,-26.7461,0.0000,0.478924
41.1025,-26.1579,0.0000,0.533771
42.1729,-25.5253,0.0000,0.545867
43.3057,-24.8372,0.0000,0.523607
44.4206,-24.1935,0.0000,0.534509
45.5267,-23.5387,0.0000,0.542401
46.6684,-22.8506,0.0000,0.525513
47.8548,-22.1626,0.0000,0.501197
49.0500,-21.5078,0.0000,0.515336
50.2453,-20.8308,0.0000,0.516588
51.4762,-20.1316,0.0000,0.529708
52.6893,-19.4213,0.0000,0.520266
53.9291,-18.7110,0.0000,0.523782
55.1779,-17.9897,0.0000,0.530868
56.4445,-17.2461,0.0000,0.501443
57.7200,-16.5469,0.0000,0.496462
59.0312,-15.8366,0.0000,0.489894
60.3424,-15.1374,0.0000,0.490746
61.6715,-14.4272,0.0000,0.456542
63.0273,-13.7613,0.0000,0.443265
64.3831,-13.1176,0.0000,0.348913
65.9084,-12.5627,0.0000,0.135907
67.5318,-12.3407,0.0000,0.134936
69.0035,-12.1409,0.0000,0.164355
70.4753,-11.8968,0.0000,0.194014
72.0006,-11.5971,0.0000,0.069411
73.5972,-11.4861,0.0000,0.089141
75.2117,-11.3418,0.0000,0.021330
79.8946,-11.2419,0.0000,0.082275
81.3753,-11.1198,0.0000,0.105202
82.8470,-10.9644,0.0000,0.117960
84.3456,-10.7868,0.0000,0.139757
85.8441,-10.5760,0.0000,0.147078
87.3426,-10.3540,0.0000,0.147078
88.8411,-10.1320,0.0000,0.153412
90.3486,-9.8989,0.0000,0.190199
91.8471,-9.6104,0.0000,0.316091
93.2386,-9.1553,0.0000,0.330863
94.6925,-8.6559,0.0000,0.320343
96.1643,-8.1676,0.0000,0.303246
97.7252,-7.6792,0.0000,0.216978
99.1346,-7.3685,0.0000,0.296198
100.5528,-6.9357,0.0000,0.298110
101.9978,-6.4917,0.0000,0.337491
103.3893,-6.0034,0.0000,0.351204
104.8432,-5.4707,0.0000,0.375490
106.2793,-4.9046,0.0000,0.320364
107.7510,-4.4163,0.0000,0.345501
109.1693,-3.9058,0.0000,0.331597
110.5875,-3.4175,0.0000,0.328483
111.9879,-2.9402,0.0000,0.343512
113.4151,-2.4297,0.0000,0.318966
114.8601,-1.9525,0.0000,0.282365
116.3140,-1.5307,0.0000,0.308803
117.7055,-1.0868,0.0000,0.340554
119.1148,-0.5874,0.0000,0.322738
120.5420,-0.1101,0.0000,0.320343
122.0138,0.3782,0.0000,0.341556
123.5123,0.9109,0.0000,0.395340
124.9484,1.5102,0.0000,0.608117
126.2239,2.3981,0.0000,1.063059
126.7858,3.4080,0.0000,1.579707
126.7769,4.4068,0.0000,2.358528
126.1971,4.9839,0.0000,2.946158
125.4121,5.1393,0.0000,-2.949208
124.3864,4.9395,0.0000,-2.754905
122.9146,4.3402,0.0000,-2.797665
121.7372,3.9185,0.0000,-2.966817
120.4171,3.6854,0.0000,-2.864674
118.9721,3.2747,0.0000,-2.843546
117.5271,2.8308,0.0000,-2.812734
111.7381,0.8553,0.0000,-2.872271
109.1246,0.1339,0.0000,-2.791962
107.7242,-0.3767,0.0000,-2.806360
106.3863,-0.8428,0.0000,-2.843840
105.0483,-1.2534,0.0000,-2.857257
103.8709,-1.5975,0.0000,-2.844282
102.6757,-1.9637,0.0000,-2.837950
101.4358,-2.3522,0.0000,-2.852078
100.1692,-2.7295,0.0000,-2.897669
98.9204,-3.0403,0.0000,-2.996220
97.5557,-3.2401,0.0000,-2.962308
96.2088,-3.4842,0.0000,-2.979684
94.7817,-3.7173,0.0000,-3.069923
93.3902,-3.8172,0.0000,3.058271
92.0611,-3.7062,0.0000,2.996281
90.5448,-3.4843,0.0000,2.877807
89.1889,-3.1181,0.0000,2.773330
87.7796,-2.5743,0.0000,2.607985
86.5397,-1.8418,0.0000,2.469986
85.5764,-1.0761,0.0000,2.285911
84.7379,-0.1106,0.0000,2.060605
84.1403,1.0103,0.0000,2.021489
83.6140,2.0979,0.0000,1.737601
83.4178,3.2632,0.0000,1.512983
83.4891,4.4951,0.0000,1.372535
83.7299,5.6937,0.0000,1.418559
83.9172,6.9145,0.0000,1.500405
84.0064,8.1796,0.0000,1.418265
84.2026,9.4559,0.0000,1.372473
84.4524,10.6989,0.0000,1.288934
85.3265,13.7175,0.0000,1.288934
85.3354,13.7286,0.0000,1.288934
85.3533,13.7508,0.0000,1.288934
85.3622,13.7508,0.0000,1.288934
85.3443,13.7286,0.0000,1.288934
85.3443,13.7064,0.0000,1.288934
85.3533,13.6842,0.0000,1.288934
85.3533,13.6399,0.0000,1.288934
85.3533,13.5955,0.0000,1.288934
85.3533,13.5622,0.0000,-1.797219
85.3354,13.4845,0.0000,-1.797219
85.3087,13.4512,0.0000,-2.248004
85.2730,13.4068,0.0000,-2.248004
85.2641,13.3846,0.0000,-1.882786
85.2462,13.3291,0.0000,-2.141131
85.2106,13.2736,0.0000,-2.191330
85.1392,13.1737,0.0000,-2.191330
85.1303,13.1404,0.0000,-2.191330
85.1125,13.0961,0.0000,-2.191330
85.1303,13.1293,0.0000,-2.191330
