stamp,session,status,lat,lon,alt,cov_xx,cov_yy,cov_zz,x,y,z
1788925516.300000429,20260909_124516,2,36.843979700,128.092602900,293.7110,0.000196,0.000196,0.000225,3.4163,45.0578,0.0000
1788925516.400000334,20260909_124516,2,36.843979700,128.092602900,293.7160,0.000196,0.000196,0.000225,3.4163,45.0578,0.0000
1788925516.500000238,20260909_124516,2,36.843979600,128.092602900,293.7220,0.000196,0.000196,0.000361,3.4163,45.0467,0.0000
1788925516.600000381,20260909_124516,2,36.843979700,128.092602900,293.7100,0.000196,0.000196,0.000256,3.4163,45.0578,0.0000
1788925516.700000286,20260909_124516,2,36.843979600,128.092603000,293.7120,0.000196,0.000196,0.000361,3.4252,45.0467,0.0000
1788925516.800000191,20260909_124516,2,36.843979700,128.092602900,293.7170,0.000196,0.000196,0.000289,3.4163,45.0578,0.0000
1788925516.900000334,20260909_124516,2,36.843979700,128.092602900,293.7180,0.000196,0.000196,0.000225,3.4163,45.0578,0.0000
1788925517.000000238,20260909_124516,2,36.843979700,128.092602900,293.7130,0.000196,0.000196,0.000196,3.4163,45.0578,0.0000
1788925517.100000143,20260909_124516,2,36.843979700,128.092602900,293.7130,0.000196,0.000196,0.000196,3.4163,45.0578,0.0000
1788925517.200000286,20260909_124516,2,36.843979700,128.092602900,293.7180,0.000196,0.000196,0.000169,3.4163,45.0578,0.0000
1788925517.300000191,20260909_124516,2,36.843979700,128.092602900,293.7190,0.000196,0.000196,0.000169,3.4163,45.0578,0.0000
1788925517.400000095,20260909_124516,2,36.843979700,128.092602900,293.7170,0.000196,0.000196,0.000225,3.4163,45.0578,0.0000
1788925517.500000000,20260909_124516,2,36.843979700,128.092602900,293.7150,0.000196,0.000196,0.000196,3.4163,45.0578,0.0000
1788925517.600000143,20260909_124516,2,36.843979700,128.092602900,293.7130,0.000196,0.000196,0.000169,3.4163,45.0578,0.0000
1788925517.700000048,20260909_124516,2,36.843979700,128.092602900,293.7150,0.000196,0.000196,0.000225,3.4163,45.0578,0.0000
1788925517.799999952,20260909_124516,2,36.843979700,128.092602900,293.7220,0.000196,0.000196,0.000225,3.4163,45.0578,0.0000
1788925517.900000095,20260909_124516,2,36.843979700,128.092602900,293.7170,0.000196,0.000196,0.000225,3.4163,45.0578,0.0000
1788925518.000000000,20260909_124516,2,36.843979700,128.092602900,293.7090,0.000196,0.000196,0.000196,3.4163,45.0578,0.0000
1788925518.099999905,20260909_124516,2,36.843979700,128.092602900,293.7090,0.000196,0.000196,0.000196,3.4163,45.0578,0.0000
1788925518.200000048,20260909_124516,2,36.843979700,128.092602900,293.7120,0.000196,0.000196,0.000225,3.4163,45.0578,0.0000
1788925518.299999952,20260909_124516,2,36.843979700,128.092602900,293.7100,0.000196,0.000196,0.000225,3.4163,45.0578,0.0000
1788925518.399999857,20260909_124516,2,36.843979700,128.092602900,293.7170,0.000196,0.000196,0.000225,3.4163,45.0578,0.0000
1788925518.500000000,20260909_124516,2,36.843979700,128.092602900,293.7140,0.000196,0.000196,0.000256,3.4163,45.0578,0.0000
1788925518.599999905,20260909_124516,2,36.843979700,128.092602900,293.7200,0.000196,0.000196,0.000256,3.4163,45.0578,0.0000
1788925518.699999809,20260909_124516,2,36.843979700,128.092602900,293.7190,0.000196,0.000196,0.000256,3.4163,45.0578,0.0000
1788925518.799999952,20260909_124516,2,36.843979700,128.092602900,293.7140,0.000196,0.000196,0.000289,3.4163,45.0578,0.0000
1788925518.899999857,20260909_124516,2,36.843979700,128.092602900,293.7110,0.000196,0.000196,0.000289,3.4163,45.0578,0.0000
1788925518.999999762,20260909_124516,2,36.843979700,128.092602900,293.7220,0.000196,0.000196,0.000324,3.4163,45.0578,0.0000
1788925519.099999905,20260909_124516,2,36.843979700,128.092602900,293.7240,0.000196,0.000196,0.000324,3.4163,45.0578,0.0000
1788925519.199999809,20260909_124516,2,36.843979700,128.092602900,293.7130,0.000196,0.000196,0.000324,3.4163,45.0578,0.0000
1788925519.299999714,20260909_124516,2,36.843979700,128.092602900,293.7080,0.000196,0.000196,0.000289,3.4163,45.0578,0.0000
