stamp,session,status,lat,lon,alt,cov_xx,cov_yy,cov_zz,x,y,z
1785471552.999741793,20260731_131910,0,36.843677300,128.093551700,293.0300,9.030025,9.030025,24.295041,88.0470,11.4980,0.0000
1785471553.999741793,20260731_131910,0,36.843677800,128.093552100,292.9520,9.030025,9.030025,24.364096,88.0827,11.5535,0.0000
1785471554.999741793,20260731_131910,0,36.843678100,128.093552600,292.8740,9.030025,9.030025,24.364096,88.1273,11.5867,0.0000
1785471555.999741793,20260731_131910,0,36.843678400,128.093553100,292.9750,9.036036,9.036036,24.364096,88.1719,11.6200,0.0000
1785471556.999741793,20260731_131910,0,36.843678800,128.093553500,293.3130,9.048064,9.048064,24.324624,88.2076,11.6644,0.0000
1785471557.999741793,20260731_131910,0,36.843678700,128.093553800,293.4230,9.072144,9.072144,24.383844,88.2343,11.6533,0.0000
1785471558.999741793,20260731_131910,0,36.843678900,128.093554500,293.3510,9.090225,9.090225,24.393721,88.2968,11.6755,0.0000
1785471559.999741793,20260731_131910,0,36.843678900,128.093555200,293.4150,9.120400,9.120400,24.472809,88.3592,11.6755,0.0000
1785471560.999741793,20260731_131910,0,36.843678900,128.093556200,293.5080,9.138529,9.138529,24.552025,88.4484,11.6755,0.0000
1785471561.999741793,20260731_131910,0,36.843678700,128.093557000,293.6130,9.162729,9.162729,24.591681,88.5198,11.6533,0.0000
