wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,6746,87.99999237060547,101.06182098388672,9.593941688537598,4.930151462554932,6.354494571685791,1.164923071861267,0.026926549151539803,0,0.0,203.82981872558594,269.8147277832031,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6746,38dd17474344d1a8dc2c78dd52d5f4606249b7256156a9c0c782487632b15ee3
FR,6746,87.99999237060547,101.33415222167969,10.0,5.214170455932617,6.243288993835449,1.2258042097091675,0.02834467962384224,0,0.0,196.01382446289062,271.2633972167969,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6746,38dd17474344d1a8dc2c78dd52d5f4606249b7256156a9c0c782487632b15ee3
RL,6746,87.99999237060547,110.93323516845703,9.593941688537598,4.916470527648926,6.426501750946045,1.3288819789886475,0.03084777481853962,0,0.0,206.9926300048828,286.1213073730469,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6746,38dd17474344d1a8dc2c78dd52d5f4606249b7256156a9c0c782487632b15ee3
RR,6746,87.99999237060547,118.19392395019531,10.0,5.271381378173828,6.621748924255371,1.340900182723999,0.03175225481390953,0,0.0,222.40931701660156,314.36712646484375,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6746,38dd17474344d1a8dc2c78dd52d5f4606249b7256156a9c0c782487632b15ee3
