wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,5309,87.99999237060547,104.52235412597656,9.603910446166992,5.033827781677246,6.470074653625488,1.2166917324066162,0.032079365104436874,0,0.0,202.66220092773438,271.7635498046875,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5309,84ff423f6ed96d3151bbd1d00312c9fddee642cdb9c9a04e4eee7e5c32841a01
FR,5309,87.99999237060547,101.03231811523438,10.0,5.288975715637207,6.311471939086914,1.2330073118209839,0.028943132609128952,0,0.0,199.58746337890625,268.8637390136719,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5309,84ff423f6ed96d3151bbd1d00312c9fddee642cdb9c9a04e4eee7e5c32841a01
RL,5309,87.99999237060547,107.49365234375,9.603910446166992,5.087055206298828,6.478187084197998,1.2041189670562744,0.0320647694170475,0,0.0,209.4325714111328,286.40692138671875,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5309,84ff423f6ed96d3151bbd1d00312c9fddee642cdb9c9a04e4eee7e5c32841a01
RR,5309,87.99999237060547,118.11174774169922,10.0,5.3183698654174805,6.639626979827881,1.319209337234497,0.03468688577413559,0,0.0,230.29380798339844,315.1131896972656,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5309,84ff423f6ed96d3151bbd1d00312c9fddee642cdb9c9a04e4eee7e5c32841a01
