wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,6443,87.99999237060547,109.2286376953125,10.0,4.944896697998047,6.313203811645508,1.247951865196228,0.024347564205527306,0,0.0,205.06044006347656,293.86248779296875,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6443,097b371b414dfd84c676b25c499a5028da041185066877e7117020414b3da832
FR,6443,87.99999237060547,101.71172332763672,9.6094970703125,5.1614766120910645,6.27215051651001,1.278395652770996,0.0264933742582798,0,0.0,170.85804748535156,270.14935302734375,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6443,097b371b414dfd84c676b25c499a5028da041185066877e7117020414b3da832
RL,6443,87.99999237060547,111.40847778320312,10.0,4.645963668823242,6.279073238372803,1.2917555570602417,0.03299244865775108,0,0.0,208.54339599609375,328.85198974609375,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6443,097b371b414dfd84c676b25c499a5028da041185066877e7117020414b3da832
RR,6443,87.99999237060547,115.72267150878906,9.6094970703125,4.819913864135742,6.3661723136901855,1.2115566730499268,0.03271310403943062,0,0.0,191.99264526367188,309.828125,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6443,097b371b414dfd84c676b25c499a5028da041185066877e7117020414b3da832
