wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,5467,87.99999237060547,105.25687408447266,9.683134078979492,5.000635147094727,6.361982822418213,1.2784347534179688,0.027585234493017197,0,0.0,204.2855682373047,269.3276062011719,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5467,67eaede95bb8230107a32f315f87217afe97f2fef276f87d30aecaac9709cc31
FR,5467,87.99999237060547,100.95536804199219,10.0,5.337162971496582,6.393565654754639,1.25034499168396,0.03604326397180557,0,0.0,173.61956787109375,268.4469909667969,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5467,67eaede95bb8230107a32f315f87217afe97f2fef276f87d30aecaac9709cc31
RL,5467,87.99999237060547,110.04080963134766,9.683134078979492,5.100125789642334,6.406941890716553,1.3375025987625122,0.03328709676861763,0,0.0,202.78086853027344,285.6295166015625,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5467,67eaede95bb8230107a32f315f87217afe97f2fef276f87d30aecaac9709cc31
RR,5467,87.99999237060547,119.19036102294922,10.0,5.3545098304748535,6.6282734870910645,1.272876501083374,0.03075922280550003,0,0.0,230.123291015625,316.67327880859375,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5467,67eaede95bb8230107a32f315f87217afe97f2fef276f87d30aecaac9709cc31
