wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,6899,87.99999237060547,104.4063720703125,9.659850120544434,4.999236583709717,6.434116363525391,1.2223913669586182,0.028139229863882065,0,0.0,202.9765625,270.7378234863281,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6899,65aa49ae0107518d18075b2ba0dfd0849d391380fc31c462f77019e5fc1b5a04
FR,6899,87.99999237060547,101.4820785522461,10.0,5.159299373626709,6.183159828186035,1.234539270401001,0.02887088991701603,0,0.0,196.12765502929688,270.1283874511719,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6899,65aa49ae0107518d18075b2ba0dfd0849d391380fc31c462f77019e5fc1b5a04
RL,6899,87.99999237060547,110.1072769165039,9.659850120544434,5.082010269165039,6.3895955085754395,1.2748748064041138,0.029321735724806786,0,0.0,208.49346923828125,285.4338073730469,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6899,65aa49ae0107518d18075b2ba0dfd0849d391380fc31c462f77019e5fc1b5a04
RR,6899,87.99999237060547,118.35531616210938,10.0,5.289517402648926,6.553407192230225,1.3335509300231934,0.028749991208314896,0,0.0,228.99769592285156,315.5603332519531,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6899,65aa49ae0107518d18075b2ba0dfd0849d391380fc31c462f77019e5fc1b5a04
