wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,7309,87.99999237060547,123.98037719726562,10.0,5.094223976135254,6.516000747680664,1.315338373184204,0.06769564747810364,0,0.0,74.88468170166016,332.3155822753906,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7309,837add0d374898083642859d22eb8f8f72b5c046c808ac38b7af301357f38d14
FR,7309,87.99999237060547,124.40274047851562,9.615921974182129,5.218057632446289,6.422609806060791,1.1724188327789307,0.06525304168462753,0,0.0,160.691162109375,336.1390075683594,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7309,837add0d374898083642859d22eb8f8f72b5c046c808ac38b7af301357f38d14
RL,7309,87.99999237060547,117.4683609008789,10.0,5.198598384857178,6.576587200164795,1.273257851600647,0.06001460552215576,0,0.0,193.20130920410156,317.6058044433594,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7309,837add0d374898083642859d22eb8f8f72b5c046c808ac38b7af301357f38d14
RR,7309,87.99999237060547,147.96006774902344,9.615921974182129,5.347290992736816,6.631115913391113,1.325303554534912,0.06546550989151001,0,0.0,200.90060424804688,392.2508850097656,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7309,837add0d374898083642859d22eb8f8f72b5c046c808ac38b7af301357f38d14
