wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,5867,87.99999237060547,108.92438507080078,10.0,5.033600330352783,6.449923038482666,1.2133082151412964,0.029617443680763245,0,0.0,189.91273498535156,290.5146789550781,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5867,85112945dbcaae0008869d572c6c4ad57668fde1a4c2e405e1a04c9b5a7f9a00
FR,5867,87.99999237060547,101.4163589477539,9.651580810546875,5.271420001983643,6.282355308532715,1.3344833850860596,0.02822733297944069,0,0.0,183.30604553222656,269.2431335449219,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5867,85112945dbcaae0008869d572c6c4ad57668fde1a4c2e405e1a04c9b5a7f9a00
RL,5867,87.99999237060547,109.97076416015625,10.0,5.091623306274414,6.49668025970459,1.2548000812530518,0.03047962114214897,0,0.0,200.93836975097656,293.09197998046875,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5867,85112945dbcaae0008869d572c6c4ad57668fde1a4c2e405e1a04c9b5a7f9a00
RR,5867,87.99999237060547,116.8634033203125,9.651580810546875,5.299519062042236,6.547939300537109,1.3206055164337158,0.03351617604494095,0,0.0,228.62960815429688,311.82928466796875,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5867,85112945dbcaae0008869d572c6c4ad57668fde1a4c2e405e1a04c9b5a7f9a00
