wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,5019,87.99999237060547,102.11239624023438,9.64012336730957,5.039412498474121,6.410861492156982,1.2539148330688477,0.031623050570487976,0,0.0,202.43893432617188,272.1477355957031,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5019,63a5ae1b78b41320bc2270f3a050b98447bef0e90a15234e61c4f5f0faae9e50
FR,5019,87.99999237060547,102.64537048339844,10.0,5.2928032875061035,6.201141357421875,1.2167593240737915,0.031806718558073044,0,0.0,198.1565704345703,269.0705871582031,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5019,63a5ae1b78b41320bc2270f3a050b98447bef0e90a15234e61c4f5f0faae9e50
RL,5019,87.99999237060547,107.005615234375,9.64012336730957,5.120368003845215,6.498692035675049,1.2726556062698364,0.03146705403923988,0,0.0,206.6012420654297,285.9727783203125,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5019,63a5ae1b78b41320bc2270f3a050b98447bef0e90a15234e61c4f5f0faae9e50
RR,5019,87.99999237060547,117.49520111083984,10.0,5.3502984046936035,6.641737937927246,1.3294081687927246,0.03447328135371208,0,0.0,230.10086059570312,314.65594482421875,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5019,63a5ae1b78b41320bc2270f3a050b98447bef0e90a15234e61c4f5f0faae9e50
