# bag: /home/avg/Data/slam_data/Woraksan_test2/rosbag2_2026_07_31-13_38_33
# topic: /gnss_2/llh_position (frame_id=gnss_2_antenna_link)
# stamp: header, unit=seconds
# mode: llh -> x=lat y=lon z=alt
# stddev: sqrt(diag(position_covariance)), meters (x_stddev=north, y_stddev=east, z_stddev=up)
# stamp x y z x_stddev y_stddev z_stddev
1785472772.269999981 36.843976000 128.092562700 293.175000000 0.014000000 0.014000000 0.018999999
1785472772.762000084 36.843976000 128.092564600 293.178000000 0.014000000 0.014000000 0.017999999
1785472773.269000053 36.843975700 128.092566600 293.167000000 0.014000000 0.014000000 0.018999999
1785472773.762000084 36.843975700 128.092568800 293.171000000 0.014000000 0.014000000 0.018999999
1785472774.263000011 36.843975800 128.092570900 293.176000000 0.014000000 0.014000000 0.017999999
1785472774.757999897 36.843975700 128.092573100 293.159000000 0.014000000 0.014000000 0.016000001
1785472775.269000053 36.843975600 128.092575300 293.175000000 0.014000000 0.014000000 0.017000001
1785472775.759999990 36.843975600 128.092577500 293.177000000 0.014000000 0.014000000 0.017000001
1785472776.279000044 36.843975900 128.092579700 293.170000000 0.014000000 0.014000000 0.015000000
1785472776.766000032 36.843976000 128.092582000 293.176000000 0.014000000 0.014000000 0.015000000
1785472777.273000002 36.843975900 128.092584300 293.180000000 0.014000000 0.014000000 0.014000000
1785472777.765000105 36.843975900 128.092586700 293.168000000 0.014000000 0.014000000 0.015000000
1785472778.269000053 36.843975800 128.092588900 293.169000000 0.014000000 0.014000000 0.016000001
1785472778.760999918 36.843975800 128.092591300 293.164000000 0.014000000 0.014000000 0.016000001
1785472779.269000053 36.843975700 128.092593400 293.186000000 0.014000000 0.014000000 0.017000001
1785472779.763000011 36.843975700 128.092595600 293.177000000 0.014000000 0.014000000 0.016000001
1785472780.270999908 36.843975700 128.092598600 293.160000000 0.014000000 0.014000000 0.016000001
1785472780.760999918 36.843975800 128.092601500 293.161000000 0.014000000 0.014000000 0.017000001
1785472781.275000095 36.843975600 128.092604400 293.156000000 0.014000000 0.014000000 0.020000000
1785472781.770999908 36.843975800 128.092607400 293.195000000 0.014000000 0.014000000 0.022000000
1785472782.273000002 36.843975900 128.092610100 293.180000000 0.014000000 0.014000000 0.022000000
1785472782.762000084 36.843976000 128.092612900 293.170000000 0.014000000 0.014000000 0.022000000
1785472783.263999939 36.843976200 128.092615600 293.163000000 0.014000000 0.014000000 0.021000000
1785472783.759999990 36.843976500 128.092618500 293.181000000 0.014000000 0.014000000 0.022000000
1785472784.270999908 36.843976900 128.092621500 293.175000000 0.015000000 0.015000000 0.024000000
