wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,5851,87.99999237060547,105.24553680419922,9.650167465209961,5.000675678253174,6.409276962280273,1.1584771871566772,0.029821516945958138,0,0.0,202.59397888183594,270.86724853515625,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5851,d9e69bfb63a82a370a995341564cedee75b7da1e9cef8d6b350c44a37248c19b
FR,5851,87.99999237060547,104.4876937866211,10.0,5.258363246917725,6.161458969116211,1.2427772283554077,0.03085567243397236,0,0.0,196.63853454589844,269.5143737792969,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5851,d9e69bfb63a82a370a995341564cedee75b7da1e9cef8d6b350c44a37248c19b
RL,5851,87.99999237060547,110.0225601196289,9.650167465209961,5.0256171226501465,6.3908305168151855,1.313844084739685,0.029666151851415634,0,0.0,205.848876953125,286.13812255859375,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5851,d9e69bfb63a82a370a995341564cedee75b7da1e9cef8d6b350c44a37248c19b
RR,5851,87.99999237060547,118.19822692871094,10.0,5.335170745849609,6.606305122375488,1.3154999017715454,0.03325105458498001,0,0.0,228.77503967285156,315.2654113769531,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5851,d9e69bfb63a82a370a995341564cedee75b7da1e9cef8d6b350c44a37248c19b
