wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,5989,87.99999237060547,102.28815460205078,9.609416007995605,5.019538402557373,6.40178108215332,1.2676020860671997,0.028824148699641228,0,0.0,203.6431427001953,272.7404479980469,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5989,f62d09844aaa4ac7d7ad3e518562c429bec398bf1efaa367bd75d138397af21c
FR,5989,87.99999237060547,103.2958984375,10.0,5.164832592010498,6.168728351593018,1.2882243394851685,0.029967648908495903,0,0.0,195.95245361328125,271.4445495605469,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5989,f62d09844aaa4ac7d7ad3e518562c429bec398bf1efaa367bd75d138397af21c
RL,5989,87.99999237060547,110.07865905761719,9.609416007995605,5.077911853790283,6.421943187713623,1.31674063205719,0.03335145115852356,0,0.0,209.07432556152344,286.43695068359375,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5989,f62d09844aaa4ac7d7ad3e518562c429bec398bf1efaa367bd75d138397af21c
RR,5989,87.99999237060547,116.97554779052734,10.0,5.281951904296875,6.555045127868652,1.3418223857879639,0.03641261160373688,0,0.0,229.03599548339844,313.75103759765625,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5989,f62d09844aaa4ac7d7ad3e518562c429bec398bf1efaa367bd75d138397af21c
