wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,6175,87.99999237060547,100.98881530761719,9.62458610534668,5.097133636474609,6.422966957092285,1.2154473066329956,0.027886375784873962,0,0.0,203.3189239501953,269.3505554199219,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6175,a1d7de9800be0013803bacd7ca94feb56bc54f40bf9a1c118573a268102946b0
FR,6175,87.99999237060547,103.29840850830078,10.0,5.239428520202637,6.230335712432861,1.3073186874389648,0.028820596635341644,0,0.0,197.43003845214844,270.38623046875,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6175,a1d7de9800be0013803bacd7ca94feb56bc54f40bf9a1c118573a268102946b0
RL,6175,87.99999237060547,110.30351257324219,9.62458610534668,5.174417018890381,6.544407367706299,1.3177627325057983,0.02766353450715542,0,0.0,208.866943359375,289.94915771484375,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6175,a1d7de9800be0013803bacd7ca94feb56bc54f40bf9a1c118573a268102946b0
RR,6175,87.99999237060547,118.5130386352539,10.0,5.306462287902832,6.637589931488037,1.3256683349609375,0.02940482087433338,0,0.0,227.4866943359375,316.0506896972656,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6175,a1d7de9800be0013803bacd7ca94feb56bc54f40bf9a1c118573a268102946b0
