wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,6909,87.99999237060547,109.02387237548828,10.0,5.021407604217529,6.437962055206299,1.2103559970855713,0.02321668341755867,0,0.0,173.90394592285156,293.0027160644531,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6909,cf46e1557838d8d91e30cec7dff0852a3eda57709136025eab38009f81c41d18
FR,6909,87.99999237060547,100.95515441894531,9.601375579833984,5.297908782958984,6.174506664276123,1.2700436115264893,0.028635675087571144,0,0.0,180.58595275878906,300.1131896972656,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6909,cf46e1557838d8d91e30cec7dff0852a3eda57709136025eab38009f81c41d18
RL,6909,87.99999237060547,109.86842346191406,10.0,5.075902462005615,6.432460784912109,1.2500696182250977,0.029957657679915428,0,0.0,186.15968322753906,289.0889892578125,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6909,cf46e1557838d8d91e30cec7dff0852a3eda57709136025eab38009f81c41d18
RR,6909,87.99999237060547,117.8462905883789,9.601375579833984,5.363024711608887,6.630372047424316,1.274139404296875,0.033144935965538025,0,0.0,227.3368682861328,326.3275146484375,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6909,cf46e1557838d8d91e30cec7dff0852a3eda57709136025eab38009f81c41d18
