wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,5317,87.99999237060547,102.3355484008789,9.612272262573242,5.041962146759033,6.449107646942139,1.2430768013000488,0.03386716544628143,0,0.0,203.094482421875,273.1778259277344,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5317,8e5184fe8b18abb4cd5c1fa585e09cd647b9913d2f2b6123b769c26235d5ec49
FR,5317,87.99999237060547,104.82536315917969,10.0,5.305401802062988,6.312138557434082,1.2540290355682373,0.04717722907662392,0,0.0,199.3046417236328,269.6246337890625,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5317,8e5184fe8b18abb4cd5c1fa585e09cd647b9913d2f2b6123b769c26235d5ec49
RL,5317,87.99999237060547,109.50546264648438,9.612272262573242,5.087555885314941,6.5226335525512695,1.307192325592041,0.04352939501404762,0,0.0,208.33441162109375,286.91650390625,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5317,8e5184fe8b18abb4cd5c1fa585e09cd647b9913d2f2b6123b769c26235d5ec49
RR,5317,87.99999237060547,116.41615295410156,10.0,5.331670761108398,6.609772682189941,1.3864132165908813,0.03529251739382744,0,0.0,230.0502166748047,312.27313232421875,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5317,8e5184fe8b18abb4cd5c1fa585e09cd647b9913d2f2b6123b769c26235d5ec49
