scenario,status,path_positive_m,path_inverse_m,return_translation_m,return_yaw_deg
straight,PASS,0.5644530148552626,0.4880946539905378,0.07167752833084094,0.1699199676513672
turn,PASS,0.4710540000547028,0.4553247836418259,0.08201104455268982,0.5813932418823242
crab,PASS,0.5125370739665188,0.4552792343336794,0.054465814335718274,0.207275390625
zero_turn,PASS,0.041682968752559425,0.039954487674989776,0.00895874241876842,0.5938730239868164
