wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,160,31.9732608795166,88.7486801147461,3.0,0.8401684761047363,3.229461431503296,1.0439250469207764,0.0072686318308115005,0,0.0,224.80491638183594,246.0413360595703,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=160,2016222fb9b7f602240613be1be8472a227b1c3bf2810c5f0f3f6166fd4e900e
FR,160,19.38235855102539,91.04668426513672,3.0,1.331325650215149,3.7765257358551025,0.6111408472061157,0.008394621312618256,0,0.0,227.59573364257812,250.04705810546875,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=160,2016222fb9b7f602240613be1be8472a227b1c3bf2810c5f0f3f6166fd4e900e
RL,160,31.9732608795166,96.8197250366211,3.0,0.8559134006500244,3.498866558074951,0.7302886247634888,0.008658277802169323,0,0.0,244.92742919921875,267.4892578125,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=160,2016222fb9b7f602240613be1be8472a227b1c3bf2810c5f0f3f6166fd4e900e
RR,160,19.38235855102539,99.44046783447266,3.0,1.3587806224822998,4.017697811126709,0.6575298309326172,0.009122602641582489,0,0.0,249.478759765625,270.6581115722656,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=160,2016222fb9b7f602240613be1be8472a227b1c3bf2810c5f0f3f6166fd4e900e
