wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,7321,87.99999237060547,104.65077209472656,9.654796600341797,5.004188537597656,6.433157920837402,1.2722272872924805,0.08339206129312515,0,0.0,181.61195373535156,281.0619812011719,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7321,6570a963fe667414092d958da59d359b79732df2791fe572e01745a65e9d5ef7
FR,7321,87.99999237060547,105.59228515625,10.0,5.254120826721191,6.168402671813965,1.2117455005645752,0.07920830696821213,0,0.0,117.63441467285156,285.9508972167969,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7321,6570a963fe667414092d958da59d359b79732df2791fe572e01745a65e9d5ef7
RL,7321,87.99999237060547,148.08546447753906,9.654796600341797,5.0442118644714355,6.388943672180176,1.2747600078582764,0.07343129068613052,0,0.0,77.67573547363281,396.3515625,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7321,6570a963fe667414092d958da59d359b79732df2791fe572e01745a65e9d5ef7
RR,7321,87.99999237060547,140.19821166992188,10.0,5.335419654846191,6.612353801727295,1.2927581071853638,0.07401907444000244,0,0.0,70.16971588134766,375.4947814941406,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7321,6570a963fe667414092d958da59d359b79732df2791fe572e01745a65e9d5ef7
