wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,6601,87.99999237060547,105.12491607666016,9.656203269958496,5.0965728759765625,6.4342217445373535,1.1386882066726685,0.029510488733649254,0,0.0,202.9303436279297,270.11663818359375,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6601,5a6337ccbfaf142bbda1ed4bdae716d4b2721bb4c040cda0bcb6a308add25d81
FR,6601,87.99999237060547,104.70698547363281,10.0,5.226396560668945,6.029309272766113,1.2555533647537231,0.03093368001282215,0,0.0,195.74339294433594,269.5082092285156,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6601,5a6337ccbfaf142bbda1ed4bdae716d4b2721bb4c040cda0bcb6a308add25d81
RL,6601,87.99999237060547,110.46052551269531,9.656203269958496,5.173378944396973,6.525238037109375,1.247444987297058,0.02926838956773281,0,0.0,207.9715118408203,287.4798278808594,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6601,5a6337ccbfaf142bbda1ed4bdae716d4b2721bb4c040cda0bcb6a308add25d81
RR,6601,87.99999237060547,118.4772720336914,10.0,5.304012298583984,6.620170593261719,1.307517409324646,0.03245219960808754,0,0.0,228.33123779296875,315.9078369140625,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6601,5a6337ccbfaf142bbda1ed4bdae716d4b2721bb4c040cda0bcb6a308add25d81
