wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,5280,87.99999237060547,102.45140075683594,9.617562294006348,5.005460262298584,6.408718109130859,1.1991677284240723,0.030962420627474785,0,0.0,203.31893920898438,272.00506591796875,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5280,2d55465c846ab5f8b8ab3ac2078d7f3d07809767d0b6a816ec5946e630394a34
FR,5280,87.99999237060547,104.21778106689453,10.0,5.207790374755859,6.15360689163208,1.253839135169983,0.031502995640039444,0,0.0,195.40045166015625,269.55291748046875,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5280,2d55465c846ab5f8b8ab3ac2078d7f3d07809767d0b6a816ec5946e630394a34
RL,5280,87.99999237060547,110.32823944091797,9.617562294006348,5.028453826904297,6.405097007751465,1.2489538192749023,0.030280938372015953,0,0.0,206.55442810058594,285.2193603515625,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5280,2d55465c846ab5f8b8ab3ac2078d7f3d07809767d0b6a816ec5946e630394a34
RR,5280,87.99999237060547,118.72993469238281,10.0,5.338537693023682,6.567028999328613,1.2595794200897217,0.02926267497241497,0,0.0,231.07980346679688,316.14544677734375,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5280,2d55465c846ab5f8b8ab3ac2078d7f3d07809767d0b6a816ec5946e630394a34
