wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,5852,87.99999237060547,102.87091064453125,9.644203186035156,5.038509368896484,6.473128795623779,1.2206157445907593,0.027821889147162437,0,0.0,202.5555877685547,274.37042236328125,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5852,efc6bff1916431a788569b5f36e1aa620124101b0b15d786a718b6d4124c6756
FR,5852,87.99999237060547,101.4227066040039,10.0,5.296367168426514,6.167708396911621,1.223515510559082,0.028966253623366356,0,0.0,197.30136108398438,269.93048095703125,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5852,efc6bff1916431a788569b5f36e1aa620124101b0b15d786a718b6d4124c6756
RL,5852,87.99999237060547,110.16560363769531,9.644203186035156,5.118287563323975,6.507348537445068,1.2723803520202637,0.029769808053970337,0,0.0,206.59097290039062,285.1766662597656,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5852,efc6bff1916431a788569b5f36e1aa620124101b0b15d786a718b6d4124c6756
RR,5852,87.99999237060547,117.1528091430664,10.0,5.353697776794434,6.647509574890137,1.3370637893676758,0.028473857790231705,0,0.0,230.7895050048828,313.7413330078125,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5852,efc6bff1916431a788569b5f36e1aa620124101b0b15d786a718b6d4124c6756
