wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,5514,87.99999237060547,104.33919525146484,9.627853393554688,4.943967819213867,6.454066276550293,1.2828510999679565,0.02832304686307907,0,0.0,203.82345581054688,274.6427001953125,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5514,c8b73a3f0d8e7a73bbb35a9b3d4d5996c72ac9ec4fe282e652d0075690a916a9
FR,5514,87.99999237060547,104.0149154663086,10.0,5.295008659362793,6.3007354736328125,1.2715487480163574,0.03802802786231041,0,0.0,198.6046905517578,271.0797119140625,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5514,c8b73a3f0d8e7a73bbb35a9b3d4d5996c72ac9ec4fe282e652d0075690a916a9
RL,5514,87.99999237060547,109.89798736572266,9.627853393554688,4.917538166046143,6.373696804046631,1.3443951606750488,0.030317725613713264,0,0.0,205.22413635253906,285.9140625,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5514,c8b73a3f0d8e7a73bbb35a9b3d4d5996c72ac9ec4fe282e652d0075690a916a9
RR,5514,87.99999237060547,116.94488525390625,10.0,5.32188081741333,6.6150970458984375,1.3336344957351685,0.036791834980249405,0,0.0,217.94903564453125,313.29425048828125,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5514,c8b73a3f0d8e7a73bbb35a9b3d4d5996c72ac9ec4fe282e652d0075690a916a9
