wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,6837,87.99999237060547,104.50064849853516,9.58653736114502,5.044086933135986,6.360751152038574,1.2393476963043213,0.028110364452004433,0,0.0,204.91903686523438,269.94073486328125,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6837,c5468f00ccee9f37b7f9c0679968e576bc535043aa4a341c9651636acfd98b21
FR,6837,87.99999237060547,103.18228912353516,10.0,5.366910934448242,6.522061824798584,1.3348826169967651,0.029560862109065056,0,0.0,198.99468994140625,268.5671691894531,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6837,c5468f00ccee9f37b7f9c0679968e576bc535043aa4a341c9651636acfd98b21
RL,6837,87.99999237060547,110.06185150146484,9.58653736114502,5.118670463562012,6.487365245819092,1.2482948303222656,0.03199666738510132,0,0.0,208.9453125,285.4639892578125,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6837,c5468f00ccee9f37b7f9c0679968e576bc535043aa4a341c9651636acfd98b21
RR,6837,87.99999237060547,116.84725189208984,10.0,5.368332862854004,6.612605571746826,1.2837754487991333,0.03227878361940384,0,0.0,220.13253784179688,312.62261962890625,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=6837,c5468f00ccee9f37b7f9c0679968e576bc535043aa4a341c9651636acfd98b21
