wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,5116,87.99999237060547,101.90507507324219,9.654899597167969,5.044798851013184,6.470915794372559,1.1738344430923462,0.032386843115091324,0,0.0,204.01568603515625,270.55902099609375,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5116,83c7cf5789eb7dc10fc518da5b4181f37344a4aecf82297e5e96612f1ce0b7b7
FR,5116,87.99999237060547,102.26678466796875,10.0,5.1313652992248535,6.164029598236084,1.2949769496917725,0.030686039477586746,0,0.0,194.40286254882812,269.8865051269531,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5116,83c7cf5789eb7dc10fc518da5b4181f37344a4aecf82297e5e96612f1ce0b7b7
RL,5116,87.99999237060547,108.4412841796875,9.654899597167969,5.081418991088867,6.478466510772705,1.3189749717712402,0.03218558430671692,0,0.0,206.80450439453125,285.08294677734375,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5116,83c7cf5789eb7dc10fc518da5b4181f37344a4aecf82297e5e96612f1ce0b7b7
RR,5116,87.99999237060547,116.96907806396484,10.0,5.339982509613037,6.6039934158325195,1.309678316116333,0.03342844545841217,0,0.0,229.041748046875,314.3790283203125,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=5116,83c7cf5789eb7dc10fc518da5b4181f37344a4aecf82297e5e96612f1ce0b7b7
