wheel,sample_count,max_abs_steer_angle_degrees,max_abs_combined_wheel_torque_nm,max_abs_external_drive_torque_nm,max_abs_omega_rad_per_second,max_abs_raw_solver_omega_rad_per_second,max_abs_longitudinal_slip,max_abs_lateral_slip_radians,in_air_count,in_air_ratio,current_tire_load_min_n,current_tire_load_max_n,contact_materials,source_sha256
FL,7301,87.99999237060547,101.81819152832031,9.638212203979492,5.006190299987793,6.394567966461182,1.2152656316757202,0.03334726765751839,0,0.0,203.85845947265625,280.75457763671875,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7301,b9cec49cd6f9284aa1491e256cc2b85efba65603df931324c7a22014bc644c93
FR,7301,87.99999237060547,111.75706481933594,10.0,5.1570868492126465,6.139997482299805,1.3358683586120605,0.043294116854667664,0,0.0,94.4921875,298.6606140136719,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7301,b9cec49cd6f9284aa1491e256cc2b85efba65603df931324c7a22014bc644c93
RL,7301,87.99999237060547,125.60223388671875,9.638212203979492,5.014647483825684,6.386832237243652,1.3072664737701416,0.0318109393119812,0,0.0,207.99807739257812,329.7985534667969,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7301,b9cec49cd6f9284aa1491e256cc2b85efba65603df931324c7a22014bc644c93
RR,7301,87.99999237060547,118.0728759765625,10.0,5.273326873779297,6.54240608215332,1.3648996353149414,0.04144379869103432,0,0.0,186.8299102783203,314.0521240234375,/Engine/EngineMaterials/DefaultPhysicalMaterial.DefaultPhysicalMaterial|/Script/PhysicsCore.PhysicalMaterial|surface=0|samples=7301,b9cec49cd6f9284aa1491e256cc2b85efba65603df931324c7a22014bc644c93
